Job_Id,Position,Company,Job_Description,Opening_Date,Closing_Date,Details,Url,,,,Link
813595,Human Resources Executive (Male),IWS Holdings,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=10&ac=DEFZZZ&jc=0000813595&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=10&ac=DEFZZZ&jc=0000813595&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=10&ac=DEFZZZ&jc=0000813595&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=10&ac=DEFZZZ&jc=0000813595&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813594,Officer - Human Resources (1),DPMC Assetline Holdings (Pvt) Ltd,Please refer the Job Advertisement  ,Wed Feb 17 2021,Tue Mar 02 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=11&ac=0000000376&jc=0000813594&ec=0000000493&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=11&ac=0000000376&jc=0000813594&ec=0000000493&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=11&ac=0000000376&jc=0000813594&ec=0000000493&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=11&ac=0000000376&jc=0000813594&ec=0000000493&pg=applicant/vacancybyfunctionalarea.jsp
813593,Internship - Junior IT Executive ? MIS (1),Metropolitan Group Of Companies,Please refer the attachment ,Wed Feb 17 2021,Tue Feb 23 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=12&ac=0000000240&jc=0000813593&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=12&ac=0000000240&jc=0000813593&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=12&ac=0000000240&jc=0000813593&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=12&ac=0000000240&jc=0000813593&ec=0000000293&pg=applicant/vacancybyfunctionalarea.jsp
813592,Business Analysts (3),Manpower Sri Lanka,"Salary: Rs. 200,000 - 250,000 | Please Refer Advert! ",Wed Feb 17 2021,Sun Feb 28 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=13&ac=0000000317&jc=0000813592&ec=0000000416&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=13&ac=0000000317&jc=0000813592&ec=0000000416&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=13&ac=0000000317&jc=0000813592&ec=0000000416&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=13&ac=0000000317&jc=0000813592&ec=0000000416&pg=applicant/vacancybyfunctionalarea.jsp
813591,IT Executive,Korean SPA Packaging (Pvt) Limited,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000813591&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000813591&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000813591&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=14&ac=DEFZZZ&jc=0000813591&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813590,EXECUTIVE?PRODUCT DEVELOPMENT TECHNOLOGIST (1),MAS Linea Aqua,Please refer the advert  ,Wed Feb 17 2021,Wed Feb 24 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=15&ac=0000000094&jc=0000813590&ec=0000000162&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=15&ac=0000000094&jc=0000813590&ec=0000000162&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=15&ac=0000000094&jc=0000813590&ec=0000000162&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=15&ac=0000000094&jc=0000813590&ec=0000000162&pg=applicant/vacancybyfunctionalarea.jsp
813589,Commi I - Pastry & Main Kitchen / Commis I - All Rounder / Linen Attendant cum General Assistant,Colombo Court Hotel & Spa,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=16&ac=DEFZZZ&jc=0000813589&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=16&ac=DEFZZZ&jc=0000813589&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=16&ac=DEFZZZ&jc=0000813589&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=16&ac=DEFZZZ&jc=0000813589&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813588,Project Manager - Telecommunication (1),Just In Time Holdings (Pvt) Ltd,Please refer the Advertisement ,Wed Feb 17 2021,Fri Mar 19 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=17&ac=0000000167&jc=0000813588&ec=0000000201&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=17&ac=0000000167&jc=0000813588&ec=0000000201&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=17&ac=0000000167&jc=0000813588&ec=0000000201&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=17&ac=0000000167&jc=0000813588&ec=0000000201&pg=applicant/vacancybyfunctionalarea.jsp
813587,Investigation Officer,Company Name Withheld,Please refer the advertisement ,Wed Feb 17 2021,Wed Mar 03 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=18&ac=DEFZZZ&jc=0000813587&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=18&ac=DEFZZZ&jc=0000813587&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=18&ac=DEFZZZ&jc=0000813587&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=18&ac=DEFZZZ&jc=0000813587&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp
813586,Manager / Assistant Manager - Maintenance (1),David Pieris Motor Company Limited,Please refer the advertsiement ,Wed Feb 17 2021,Sat Feb 27 2021,Full View,"JavaScript:openSizeWindow('../employer/JobAdvertismentServlet?rid=19&ac=0000000412&jc=0000813586&ec=0000000541&pg=applicant/vacancybyfunctionalarea.jsp',1098,631,'quickvacancysearch_1b0JEMl17IUuCYNnhn23CspWa')",../employer/JobAdvertismentServlet?rid=19&ac=0000000412&jc=0000813586&ec=0000000541&pg=applicant/vacancybyfunctionalarea.jsp,/employer/JobAdvertismentServlet?rid=19&ac=0000000412&jc=0000813586&ec=0000000541&pg=applicant/vacancybyfunctionalarea.jsp,,https://topjobs.lk/employer/JobAdvertismentServlet?rid=19&ac=0000000412&jc=0000813586&ec=0000000541&pg=applicant/vacancybyfunctionalarea.jsp
